Unit,Tcode,Rec'd,Scanned,Sent to CU,Status,Household Member,Mailing Zip,Move In,Move Out,Member Age - as of date,Effective Date,Admission Date,Total Annual Income,Special Program Setting,Member Citizen,Member Sex,Tenant Rent,TTP,Member Ethnicity,Bedrooms,Family Members,Eligible  Members,Dependants,HH Members under age 13,Student Houshold Members,Non-Students Age 18+,Single Parent HH
1,t0000869,,,,Current,H,80301,12-10-01,99-12-30,42,6/1/2014,6/2/2006,7280,mtwfam,IN,F,210,309,1,2,3,2,2,1,1,1,Yes
1,t0000870,6/30/2014,7/18/2014,7/21/2014,Current,H,80301,04-01-15,99-12-30,44,1/1/2015,1/15/2004,30138,mtwfam,EC,M,631,730,1,2,4,3,2,2,0,2,NO
1,t0000856,,,,Current,H,80301,08-07-08,99-12-30,27,7/1/2014,7/8/2008,15640,mtwfam,IN,F,349,448,1,2,3,2,2,2,0,1,Yes
1,t0007564,6/5/2014,6/9/2014,6/10/2014,Current,H,80301,12-12-14,99-12-30,40,12/1/2014,12/14/2012,23400,mtwfam,IN,F,487,586,1,2,4,2,2,2,0,2,Unknown
1,t0005509,8/14/2014,9/11/2014,9/22/2014,Current,H,80301,12-11-09,99-12-30,31,11/1/2014,11/9/2012,17160,mtwfam,IN,M,447,546,1,2,3,1,1,1,0,2,Unknown
1,t0000847,5/29/2014,6/9/2014,6/10/2014,Current,H,80301,03-04-25,99-12-30,34,4/1/2014,4/25/2003,33800,mtwfam,IN,M,667,797,1,3,6,4,4,2,0,2,NO
1,t0000848,6/23/2014,7/18/2014,7/21/2014,Current,H,80301,04-05-17,99-12-30,48,5/1/2014,5/17/2004,30000,mtwfam,IN,M,614,744,1,3,5,2,3,1,0,3,NO
1,t0000873,,,,Current,H,80301,09-02-01,99-12-30,33,9/1/2014,9/26/2007,23660,mtwfam,IN,M,479,578,1,2,5,3,3,3,0,2,NO
1,t0000845,7/1/2014,7/18/2014,7/21/2014,Current,H,80301,06-03-23,99-12-30,31,3/1/2014,3/23/2006,24960,mtwfam,IN,F,506,605,2,2,4,2,2,2,0,2,Unknown
1,a0000400,6/2/2014,6/9/2014,6/10/2014,Current,H,80301,09-04-13,99-12-30,28,4/1/2014,4/13/2009,19760,mtwfam,IN,F,545,644,1,2,4,2,2,2,0,2,Unknown
1,t0000860,6/20/2014,7/18/2014,7/21/2014,Current,H,80301,05-09-30,99-12-30,38,9/1/2014,9/30/2005,16240,mtwfam,IN,F,440,539,1,2,3,1,1,1,0,2,Unknown
1,t0000851,,,,Past,H,80504,03-06-20,14-12-22,38,12/22/2014,12/30/1899,0,mtwfam,IN,F,1321,0,1,3,5,1,0,0,0,5,NO
