Property,"Tenant
Code",Recd?,Scanned?,Sent to CU?,Status,Household Member,Mailing Zip,Move In,Move Out,Member Age - as of date,Effective Date,Admission Date,Total Annual Income,Special Program Setting,Member Citizen,Member Sex,Tenant Rent,TTP,Member Ethnicity,Bedrooms,Family Members,Eligible  Members,Dependants,HH Members under age 13,Student Houshold Members,Non-Students Ages 18+,Single Parent HH
s8hcvp,t0000403,4/18/2014,4/18/2014,5/19/2014,Current,H,80304,12-08-23,99-12-30,42,8/1/2014,1/19/2002,23604,s85mem,IN,M,840,560,1,3,5,3,3,1,1,2,NO
s8hcvp,t0001225,4/21/2014,5/12/2014,5/19/2014,Current,H,80501,13-12-01,99-12-30,51,8/1/2014,9/1/1985,2100,s81mem,EC,F,57,125,1,2,1,1,0,0,0,1,NO
s8hcvp,t0000558,4/22/2014,5/20/2014,5/28/2014,Past,H,80501,13-04-10,14-07-31,31,8/1/2014,12/30/1899,0,mtwfam,EC,F,0,0,1,2,2,2,0,1,0,1,Unknown
s8hcvp,t0008410,,,,Current,H,80301,14-02-10,99-12-30,44,8/1/2014,2/10/2014,16380,s86mem,EN,F,280,380,2,4,6,6,3,0,1,3,Unknown
s8hcvp,a0000011,4/30/2014,5/5/2014,5/19/2014,Current,H,80026,14-04-07,99-12-30,38,10/1/2014,2/1/2008,6948,s85mem,EC,F,80,160,1,3,4,4,3,2,1,1,Yes
s8hcvp,t0001281,4/23/2014,5/5/2014,5/19/2014,Current,H,80304,13-07-23,99-12-30,48,8/1/2014,7/23/2013,3600,s81mem,EC,F,37,120,1,1,1,1,0,0,0,1,NO
s8hcvp,t0002571,4/23/2014,5/20/2014,5/28/2014,Current,H,80304,12-12-27,12-12-31,43,8/1/2014,1/1/2011,22680,s82mem,EN,M,549,600,1,2,2,2,1,0,0,1,Yes
s8hcvp,t0008718,4/11/2014,4/18/2014,5/19/2014,Current,H,80301,13-10-22,99-12-30,44,10/1/2014,8/9/2013,8268,s85mem,EC,F,155,255,1,4,5,5,4,2,1,1,Yes
s8hcvp,t0000378,4/22/2014,5/20/2014,5/28/2014,Current,H,80503,10-08-31,99-12-30,60,1/1/2015,9/17/2003,1650,s82mem,EC,F,65,130,1,3,2,2,1,0,1,1,Yes
s8hcvp,t0006537,5/9/2014,5/12/2014,5/19/2014,Current,H,80304,13-03-01,99-12-30,46,8/1/2014,3/1/2013,17640,s83mem,EC,F,324,450,2,3,3,3,2,2,0,1,Yes
s8hcvp,t0002008,5/7/2014,5/12/2014,5/19/2014,Past,H,80301,10-07-20,14-11-30,49,11/30/2014,12/30/1899,0,s83mem,EC,F,0,0,2,3,3,3,0,1,0,1,Unknown
s8hcvp,t0002455,4/24/2014,4/25/2014,5/19/2014,Current,H,80304,12-06-19,99-12-30,31,8/1/2014,3/18/2011,24752,s84mem,IN,F,775,675,1,3,4,3,3,2,0,1,Yes
s8hcvp,a0000018,5/12/2014,5/20/2014,5/28/2014,Current,H,80501,10-10-09,99-12-30,33,10/1/2014,10/9/2010,7150,s85mem,EC,F,80,160,1,3,5,5,4,2,0,1,Yes
s8hcvp,a0000020,,,,Current,H,80503,13-03-01,99-12-30,42,8/1/2014,3/30/2011,24767,s83mem,IN,F,715,600,1,2,3,2,2,2,0,1,Yes
s8hcvp,t0000351,5/9/2014,5/12/2014,5/19/2014,Current,H,80501,10-02-25,99-12-30,48,8/1/2014,4/9/2002,7200,s83mem,IN,F,315,215,1,3,3,2,2,1,0,1,Yes
s8hcvp,t0000414,4/4/2014,4/10/2014,4/11/2014,Current,H,80304,11-06-17,99-12-30,43,8/1/2014,11/1/2008,18050,s85mem,IN,F,725,450,1,3,5,3,2,1,0,3,NO
s8hcvp,t0002224,4/15/2014,4/18/2014,5/19/2014,Current,H,80304,10-03-01,99-12-30,39,8/1/2014,3/1/2010,16302,s82mem,EC,F,644,500,1,2,2,2,1,0,0,1,Yes
s8pbbe,t0001292,4/17/2014,4/18/2014,5/19/2014,Current,H,80304,08-09-01,99-12-30,49,8/1/2014,9/1/2008,22201,s85mem,EC,M,0,0,1,3,5,5,2,0,0,3,NO
